Vivado Simulator 2018.3
Time resolution is 1 ps
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
Value of D1=1, D2=1, clk=0, o1=0, o2=11
Value of D1=1, D2=1, clk=0, o1=1, o2=11
